"sitio" "replica" "estrato" "microhabitat" "taxa" "body_mass" "gremio" "clase_tam" "Sistema" "Taxón" "Gremio"
"3004" "P" 1 "H" "humus" "scheloribates" 15.906492771607 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3005" "P" 1 "H" "humus" "parasitidae" 15.9040750636565 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3006" "A" 1 "H" "humus" "oripodidae" 15.8672718585638 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3007" "A" 2 "H" "humus" "hipogastruridae" 15.8602752856555 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3008" "P" 1 "H" "humus" "scheloribates" 15.8524989660162 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3009" "P" 1 "H" "humus" "ceratozetoidea" 15.8524989660162 "detritivoro" "meso" "Pastizal" "Ceratozetoidea" "Detritivoro"
"3010" "P" 2 "H" "humus" "oripodidae" 15.8304486101936 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3011" "P" 1 "H" "humus" "onichiuridae" 15.8068501990365 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3012" "A" 3 "H" "Frag" "oripodidae" 15.777094915251 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3013" "P" 1 "10" "10" "ceratozetoidea" 15.7754970239776 "detritivoro" "meso" "Pastizal" "Ceratozetoidea" "Detritivoro"
"3014" "R" 3 "H" "humus" "oppioidea" 15.7711804657659 "microfitofago" "meso" "Reserva" "Oppioidea" "Microfitofago"
"3015" "A" 1 "H" "humus" "parasitidae" 15.7639894336209 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3016" "P" 2 "H" "humus" "oripodidae" 15.7472590925621 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3017" "P" 1 "H" "Frag" "hipogastruridae" 15.7402384143587 "omnivoro" "meso" "Pastizal" "Hipogastruridae" "Omnivoro"
"3018" "P" 2 "H" "Frag" "oribatulidae" 15.7323201768287 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3019" "P" 2 "H" "humus" "scheloribates" 15.7319808290825 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3020" "P" 2 "H" "Frag" "rhodacaroidea" 15.7138795426505 "predador" "meso" "Pastizal" "Rhodacaroidea" "Predador"
"3021" "A" 3 "H" "Frag" "hipogastruridae" 15.6908767202855 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3022" "A" 2 "H" "humus" "hipogastruridae" 15.6850952002738 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3023" "P" 2 "H" "humus" "parasitidae" 15.6784034261573 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3024" "R" 3 "10" "10" "oppioidea" 15.6670863586599 "microfitofago" "meso" "Reserva" "Oppioidea" "Microfitofago"
"3025" "A" 1 "H" "humus" "oripodidae" 15.6535063760697 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3026" "P" 3 "H" "Frag" "oripodidae" 15.6353613088386 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3027" "A" 1 "10" "10" "omnivoro" 15.632174681337 "omnivoro" "micro" "Agrícola" "Omnivoro" "Omnivoro"
"3028" "P" 2 "H" "Frag" "onichiuridae" 15.6098790921663 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3029" "A" 3 "H" "Frag" "isotomidae" 15.6066739671943 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3030" "P" 2 "H" "humus" "oripodidae" 15.6036686518209 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3031" "A" 1 "H" "humus" "ceratozetoidea" 15.5915500109084 "detritivoro" "meso" "Agrícola" "Ceratozetoidea" "Detritivoro"
"3032" "A" 3 "H" "humus" "scheloribates" 15.5555366118973 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3033" "A" 3 "H" "Frag" "hipogastruridae" 15.551684224442 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3034" "A" 1 "H" "humus" "scheloribates" 15.5406728805351 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3035" "P" 1 "H" "humus" "isotomidae" 15.4754984845544 "detritivoro" "meso" "Pastizal" "Isotomidae" "Detritivoro"
"3036" "P" 2 "H" "Frag" "scheloribates" 15.468645429255 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3037" "P" 1 "H" "humus" "parasitidae" 15.4403978977662 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3038" "P" 1 "H" "humus" "scheloribates" 15.4279639666067 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3039" "R" 2 "10" "10" "fungivoro" 15.421818732811 "microfitofago" "micro" "Reserva" "Fungivoro" "Microfitofago"
"3040" "P" 3 "10" "10" "omnivoro" 15.382292100806 "omnivoro" "micro" "Pastizal" "Omnivoro" "Omnivoro"
"3041" "A" 1 "H" "humus" "scheloribates" 15.3637990009614 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3042" "A" 1 "H" "humus" "hipogastruridae" 15.2733996098177 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3043" "P" 1 "H" "humus" "oripodidae" 15.2681905174399 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3044" "P" 1 "H" "humus" "parasitidae" 15.2540539340577 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3045" "A" 3 "H" "Frag" "hipogastruridae" 15.2496121339592 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3046" "R" 2 "H" "humus" "scheloribates" 15.2430523138703 "detritivoro" "meso" "Reserva" "Scheloribates" "Detritivoro"
"3047" "P" 3 "H" "Frag" "oripodidae" 15.237512154563 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3048" "P" 2 "H" "humus" "scheloribates" 15.2034640039295 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3049" "P" 3 "10" "10" "omnivoro" 15.1567175512321 "omnivoro" "micro" "Pastizal" "Omnivoro" "Omnivoro"
"3050" "P" 1 "H" "humus" "oribatulidae" 15.1515232314871 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3051" "R" 1 "H" "humus" "oribatulidae" 15.1492506604279 "microfitofago" "meso" "Reserva" "Oribatulidae" "Microfitofago"
"3052" "A" 1 "H" "humus" "astigmata" 15.1417078135197 "omnivoro" "meso" "Agrícola" "Astigmata" "Omnivoro"
"3053" "A" 1 "H" "humus" "isotomidae" 15.1410423327094 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3054" "A" 1 "10" "10" "fungivoro" 15.1138035879542 "microfitofago" "micro" "Agrícola" "Fungivoro" "Microfitofago"
"3055" "P" 2 "H" "Frag" "oripodidae" 15.0771050835819 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3056" "R" 3 "H" "humus" "oppioidea" 15.076920360461 "microfitofago" "meso" "Reserva" "Oppioidea" "Microfitofago"
"3057" "P" 1 "H" "humus" "oripodidae" 15.0766630084752 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3058" "A" 1 "H" "humus" "ceratozetoidea" 15.0708780312148 "detritivoro" "meso" "Agrícola" "Ceratozetoidea" "Detritivoro"
"3059" "P" 2 "10" "10" "oripodidae" 15.0647652145167 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3060" "A" 2 "10" "10" "hipogastruridae" 15.0412984595912 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3061" "A" 1 "H" "humus" "ceratozetoidea" 15.0242191857302 "detritivoro" "meso" "Agrícola" "Ceratozetoidea" "Detritivoro"
"3062" "P" 1 "H" "humus" "parasitidae" 15.0079713579275 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3063" "P" 2 "H" "Frag" "oribatulidae" 15.0037938055333 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3064" "A" 2 "H" "Frag" "parasitidae" 14.9415091952914 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3065" "A" 2 "H" "humus" "scheloribates" 14.8867684944684 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3066" "A" 2 "10" "10" "fungivoro" 14.8854322106241 "microfitofago" "micro" "Agrícola" "Fungivoro" "Microfitofago"
"3067" "R" 1 "H" "humus" "ceratozetoidea" 14.8843766123123 "detritivoro" "meso" "Reserva" "Ceratozetoidea" "Detritivoro"
"3068" "P" 1 "H" "humus" "parasitidae" 14.8488951924064 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3069" "A" 2 "H" "humus" "uropodidae" 14.8455879249111 "predador" "meso" "Agrícola" "Uropodidae" "Predador"
"3070" "A" 3 "10" "10" "oripodidae" 14.8272157088205 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3071" "P" 2 "H" "humus" "oripodidae" 14.8176419775803 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3072" "A" 3 "10" "10" "omnivoro" 14.7864590821457 "omnivoro" "micro" "Agrícola" "Omnivoro" "Omnivoro"
"3073" "P" 1 "H" "humus" "scheloribates" 14.7479520163805 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3074" "A" 2 "H" "Frag" "scheloribates" 14.7421958619386 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3075" "P" 2 "H" "humus" "oripodidae" 14.7391967165014 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3076" "A" 2 "H" "humus" "isotomidae" 14.7178132406099 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3077" "A" 1 "H" "humus" "isotomidae" 14.7115975341049 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3078" "A" 1 "H" "humus" "ceratozetoidea" 14.7053558051971 "detritivoro" "meso" "Agrícola" "Ceratozetoidea" "Detritivoro"
"3079" "A" 1 "10" "10" "hipogastruridae" 14.6982583642489 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3080" "A" 3 "H" "Frag" "rhodacaroidea" 14.6937460794494 "predador" "meso" "Agrícola" "Rhodacaroidea" "Predador"
"3081" "P" 2 "H" "humus" "parasitidae" 14.6839976562779 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3082" "P" 3 "H" "Frag" "oripodidae" 14.6828655984269 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3083" "R" 1 "H" "humus" "arctacaridae" 14.6823333029617 "predador" "meso" "Reserva" "Arctacaridae" "Predador"
"3084" "A" 1 "H" "humus" "ceratozetoidea" 14.6798288533809 "detritivoro" "meso" "Agrícola" "Ceratozetoidea" "Detritivoro"
"3085" "R" 2 "10" "10" "fungivoro" 14.6672403756781 "microfitofago" "micro" "Reserva" "Fungivoro" "Microfitofago"
"3086" "R" 1 "H" "humus" "oripodidae" 14.6668880144577 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3087" "R" 1 "H" "humus" "oripodidae" 14.6668880144577 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3088" "R" 1 "10" "10" "oribatulidae" 14.6413753569692 "microfitofago" "meso" "Reserva" "Oribatulidae" "Microfitofago"
"3089" "P" 2 "H" "humus" "scheloribates" 14.6343543337766 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3090" "R" 3 "H" "humus" "oripodidae" 14.6250787478326 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3091" "A" 3 "10" "10" "oripodidae" 14.6177279306819 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3092" "R" 3 "10" "10" "oppioidea" 14.6058330824388 "microfitofago" "meso" "Reserva" "Oppioidea" "Microfitofago"
"3093" "P" 1 "H" "Frag" "hipogastruridae" 14.5787285888847 "omnivoro" "meso" "Pastizal" "Hipogastruridae" "Omnivoro"
"3094" "R" 3 "H" "humus" "oripodidae" 14.4983129064299 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3095" "A" 2 "H" "humus" "hipogastruridae" 14.4930481700568 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3096" "A" 3 "H" "humus" "oripodidae" 14.4899750335304 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3097" "P" 1 "H" "humus" "scheloribates" 14.445522691676 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3098" "P" 1 "H" "Frag" "onichiuridae" 14.4380697533143 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3099" "R" 1 "H" "humus" "oribatulidae" 14.4353099815021 "microfitofago" "meso" "Reserva" "Oribatulidae" "Microfitofago"
"3100" "P" 1 "H" "humus" "scheloribates" 14.4296557401793 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3101" "P" 3 "H" "humus" "bdelloidea" 14.4093601110723 "predador" "meso" "Pastizal" "Bdelloidea" "Predador"
"3102" "A" 2 "H" "humus" "oripodidae" 14.4090166984951 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3103" "A" 1 "H" "humus" "scheloribates" 14.3897047730131 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3104" "R" 2 "H" "humus" "scheloribates" 14.3612002465054 "detritivoro" "meso" "Reserva" "Scheloribates" "Detritivoro"
"3105" "P" 3 "H" "Frag" "oripodidae" 14.359504240607 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3106" "A" 2 "H" "Frag" "astigmata" 14.328494706298 "omnivoro" "meso" "Agrícola" "Astigmata" "Omnivoro"
"3107" "P" 1 "10" "10" "ceratozetoidea" 14.3182536565139 "detritivoro" "meso" "Pastizal" "Ceratozetoidea" "Detritivoro"
"3108" "P" 3 "H" "humus" "scheloribates" 14.3168627678799 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3109" "P" 1 "H" "humus" "onichiuridae" 14.3153591773922 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3110" "A" 2 "10" "10" "fungivoro" 14.2848709774125 "microfitofago" "micro" "Agrícola" "Fungivoro" "Microfitofago"
"3111" "A" 2 "H" "humus" "hipogastruridae" 14.2619472554792 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3112" "A" 2 "H" "humus" "isotomidae" 14.2552441034263 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3113" "R" 1 "H" "humus" "entomobryoidea" 14.2434647566074 "microfitofago" "meso" "Reserva" "Entomobryoidea" "Microfitofago"
"3114" "A" 1 "H" "Frag" "parasitidae" 14.2315724160777 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3115" "R" 3 "H" "Frag" "dermanisoidea" 14.226073177541 "predador" "meso" "Reserva" "Dermanisoidea" "Predador"
"3116" "R" 2 "10" "10" "bacterivoro" 14.1945195216026 "microfitofago" "micro" "Reserva" "Bacterivoro" "Microfitofago"
"3117" "P" 2 "10" "10" "oripodidae" 14.1556777292032 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3118" "R" 1 "H" "humus" "oripodidae" 14.1395514452618 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3119" "A" 3 "10" "10" "bacterivoro" 14.1365693744512 "microfitofago" "micro" "Agrícola" "Bacterivoro" "Microfitofago"
"3120" "P" 2 "10" "10" "oripodidae" 14.1049337240714 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3121" "P" 2 "H" "Frag" "oripodidae" 14.0905418487549 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3122" "R" 1 "H" "humus" "limnozetidae" 14.090090798079 "microfitofago" "meso" "Reserva" "Limnozetidae" "Microfitofago"
"3123" "R" 1 "H" "humus" "oripodidae" 14.0511175430644 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3124" "A" 2 "H" "humus" "hipogastruridae" 14.0487550200621 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3125" "A" 3 "H" "humus" "oripodidae" 14.0407208885879 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3126" "A" 2 "H" "humus" "isotomidae" 14.0377895111468 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3127" "P" 2 "10" "10" "omnivoro" 14.0330344618659 "omnivoro" "micro" "Pastizal" "Omnivoro" "Omnivoro"
"3128" "A" 3 "10" "10" "oripodidae" 14.0305850022832 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3129" "R" 1 "10" "10" "japygiidae" 14.0013034707283 "predador" "meso" "Reserva" "Japygiidae" "Predador"
"3130" "P" 3 "H" "humus" "onichiuridae" 13.9949457214328 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3131" "A" 1 "H" "humus" "scheloribates" 13.9948322155166 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3132" "A" 3 "H" "Frag" "isotomidae" 13.9709521468441 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3133" "P" 3 "H" "Frag" "onichiuridae" 13.9643604842553 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3134" "R" 1 "H" "humus" "oripodidae" 13.9565042418817 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3135" "P" 1 "H" "humus" "parasitidae" 13.9231697187118 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3136" "P" 1 "10" "10" "bdelloidea" 13.9004701354604 "predador" "meso" "Pastizal" "Bdelloidea" "Predador"
"3137" "P" 1 "H" "Frag" "scheloribates" 13.8997100786736 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3138" "A" 2 "H" "humus" "hipogastruridae" 13.8732516519738 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3139" "P" 1 "H" "humus" "scheloribates" 13.8524538794263 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3140" "A" 2 "H" "humus" "isotomidae" 13.8339327867049 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3141" "P" 3 "10" "10" "parasitidae" 13.829306804821 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3142" "P" 3 "H" "Frag" "oripodidae" 13.8255096464128 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3143" "A" 3 "H" "Frag" "oripodidae" 13.8220214380309 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3144" "A" 3 "H" "Frag" "hipogastruridae" 13.8154789085008 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3145" "A" 3 "H" "Frag" "hipogastruridae" 13.8032103163106 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3146" "A" 1 "H" "humus" "parasitidae" 13.758827871345 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3147" "A" 1 "H" "humus" "eupodoidea" 13.7381537081774 "omnivoro" "meso" "Agrícola" "Eupodoidea" "Omnivoro"
"3148" "A" 2 "H" "humus" "isotomidae" 13.7343669646522 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3149" "P" 2 "H" "humus" "oripodidae" 13.7313533601614 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3150" "P" 2 "H" "Frag" "scheloribates" 13.7282935975305 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3151" "P" 3 "H" "Frag" "oribatulidae" 13.7225614708024 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3152" "A" 2 "H" "humus" "isotomidae" 13.7194503741497 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3153" "R" 2 "H" "humus" "uropodidae" 13.7102990919586 "predador" "meso" "Reserva" "Uropodidae" "Predador"
"3154" "A" 1 "H" "humus" "parasitidae" 13.7083496517385 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3155" "P" 2 "10" "10" "oripodidae" 13.7066324060302 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3156" "A" 3 "H" "Frag" "hipogastruridae" 13.7018415989009 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3157" "R" 2 "H" "Hoja" "oppioidea" 13.7017832877069 "microfitofago" "meso" "Reserva" "Oppioidea" "Microfitofago"
"3158" "A" 3 "H" "Frag" "isotomidae" 13.6956375017327 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3159" "P" 2 "H" "humus" "astigmata" 13.6869353477872 "omnivoro" "meso" "Pastizal" "Astigmata" "Omnivoro"
"3160" "P" 1 "H" "humus" "scheloribates" 13.65681033078 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3161" "P" 1 "H" "humus" "parasitidae" 13.6105947181854 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3162" "P" 2 "H" "humus" "scheloribates" 13.6089153833263 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3163" "R" 1 "H" "humus" "arctacaridae" 13.5606252523359 "predador" "meso" "Reserva" "Arctacaridae" "Predador"
"3164" "P" 2 "H" "Frag" "oripodidae" 13.5420993692239 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3165" "P" 2 "H" "Frag" "oribatulidae" 13.5147784222604 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3166" "P" 2 "10" "10" "oripodidae" 13.5144781539683 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3167" "A" 3 "H" "Frag" "hipogastruridae" 13.4926718239999 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3168" "A" 2 "H" "humus" "hipogastruridae" 13.4756397560268 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3169" "P" 2 "H" "Frag" "scheloribates" 13.4685279017618 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3170" "R" 1 "10" "10" "fungivoro" 13.4564819145248 "microfitofago" "micro" "Reserva" "Fungivoro" "Microfitofago"
"3171" "A" 1 "H" "humus" "scheloribates" 13.4288064093585 "detritivoro" "meso" "Agrícola" "Scheloribates" "Detritivoro"
"3172" "R" 2 "10" "10" "fungivoro" 13.4220468970984 "microfitofago" "micro" "Reserva" "Fungivoro" "Microfitofago"
"3173" "R" 1 "10" "10" "oripodidae" 13.4171288009328 "detritivoro" "meso" "Reserva" "Oripodidae" "Detritivoro"
"3174" "R" 1 "H" "humus" "oribatulidae" 13.4037631194079 "microfitofago" "meso" "Reserva" "Oribatulidae" "Microfitofago"
"3175" "R" 1 "H" "humus" "ceratozetoidea" 13.4007435495772 "detritivoro" "meso" "Reserva" "Ceratozetoidea" "Detritivoro"
"3176" "A" 2 "10" "10" "oripodidae" 13.3783087605972 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3177" "P" 3 "H" "Frag" "laelapidae" 13.371300265238 "predador" "meso" "Pastizal" "Laelapidae" "Predador"
"3178" "P" 3 "H" "Frag" "bdelloidea" 13.3610803992213 "predador" "meso" "Pastizal" "Bdelloidea" "Predador"
"3179" "P" 1 "H" "Frag" "hipogastruridae" 13.3426840072803 "omnivoro" "meso" "Pastizal" "Hipogastruridae" "Omnivoro"
"3180" "A" 2 "10" "10" "fungivoro" 13.336608805243 "microfitofago" "micro" "Agrícola" "Fungivoro" "Microfitofago"
"3181" "P" 1 "H" "humus" "scheloribates" 13.330827895759 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3182" "P" 1 "H" "humus" "parasitidae" 13.3264168376956 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3183" "P" 3 "H" "Frag" "scheloribates" 13.2996821415743 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3184" "P" 2 "10" "10" "oripodidae" 13.285645653261 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3185" "P" 1 "H" "humus" "parasitidae" 13.2528425884653 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3186" "A" 3 "H" "humus" "oripodidae" 13.2253787750072 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3187" "A" 2 "10" "10" "astigmata" 13.2045880357918 "omnivoro" "meso" "Agrícola" "Astigmata" "Omnivoro"
"3188" "A" 3 "H" "Frag" "isotomidae" 13.2039630262333 "detritivoro" "meso" "Agrícola" "Isotomidae" "Detritivoro"
"3189" "P" 3 "H" "Frag" "scheloribates" 13.1959074533604 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3190" "P" 1 "H" "Frag" "isotomidae" 13.1958666598048 "detritivoro" "meso" "Pastizal" "Isotomidae" "Detritivoro"
"3191" "P" 1 "10" "10" "fungivoro" 13.1909721854175 "microfitofago" "micro" "Pastizal" "Fungivoro" "Microfitofago"
"3192" "P" 1 "10" "10" "ceratozetoidea" 13.1886454545762 "detritivoro" "meso" "Pastizal" "Ceratozetoidea" "Detritivoro"
"3193" "R" 2 "H" "humus" "scheloribates" 13.1823509218154 "detritivoro" "meso" "Reserva" "Scheloribates" "Detritivoro"
"3194" "A" 2 "H" "humus" "hipogastruridae" 13.179482697539 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3195" "A" 1 "H" "humus" "parasitidae" 13.1256861588633 "predador" "meso" "Agrícola" "Parasitidae" "Predador"
"3196" "A" 3 "10" "10" "predador" 13.1175285908775 "predador" "micro" "Agrícola" "Predador" "Predador"
"3197" "A" 2 "H" "humus" "oripodidae" 13.1145958015098 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3198" "P" 1 "H" "humus" "oripodidae" 13.1137409919461 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3199" "P" 2 "10" "10" "omnivoro" 13.111501329855 "omnivoro" "micro" "Pastizal" "Omnivoro" "Omnivoro"
"3200" "P" 1 "H" "humus" "onichiuridae" 13.0897923653173 "microfitofago" "meso" "Pastizal" "Onychiuridae" "Microfitofago"
"3201" "P" 1 "H" "Frag" "parasitidae" 13.0854171593762 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3202" "P" 1 "H" "humus" "oripodidae" 13.0820094086885 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
"3203" "A" 1 "10" "10" "hipogastruridae" 13.0743830332855 "omnivoro" "meso" "Agrícola" "Hipogastruridae" "Omnivoro"
"3204" "P" 1 "H" "humus" "parasitidae" 13.0563347427765 "predador" "meso" "Pastizal" "Parasitidae" "Predador"
"3205" "A" 2 "H" "humus" "oripodidae" 13.0487420458725 "detritivoro" "meso" "Agrícola" "Oripodidae" "Detritivoro"
"3206" "P" 3 "H" "Frag" "oribatulidae" 13.041696447854 "microfitofago" "meso" "Pastizal" "Oribatulidae" "Microfitofago"
"3207" "P" 1 "H" "humus" "scheloribates" 13.0259688204974 "detritivoro" "meso" "Pastizal" "Scheloribates" "Detritivoro"
"3208" "P" 2 "H" "humus" "oripodidae" 12.9469032211496 "detritivoro" "meso" "Pastizal" "Oripodidae" "Detritivoro"
